# ---------------------------------- WARNING ----------------------------------
# Some of the data that you have obtained from this South Florida Water Management District
# database may not have received complete review. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that the South Florida Water Management District may not be held liable
# for any damages resulting from its use.
#
# DBHYDRO User Guide: https://www.sfwmd.gov/sites/default/files/documents/dbhydroinsightsuserdocumentation.pdf
#
# DBHYDRO FAQ: https://insights.sfwmd.gov/#/faq
#
# Provisional Data Statement:
# Data are provisional and subject to revision until they have been reviewed and have received approval.
# Current condition data relayed by satellite or other telemetry are not automatically screened for improbable values.
# Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement location. 
# Subsequent review based on field inspections and measurements may result in significant revisions to the data.
# Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern 
# personal or public safety or the conduct of business that involves substantial monetary or operational consequences.
# Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be sought
# by contacting the agency to which a data set is attributed.
#
# Contact:   datarequests@sfwmd.gov
#
# Data for the following location(s) are contained in this output:
#        S28_S               S-28 SPILLWAY ON CANAL C-8 AT TIDEWATER
#
#-----------------------------------------------------------------------------
#
# Data provided:
#        agency  dbkey   station      parameter      frequency statistic strata  opNum   recorder  description
#        WMD     LS856   S28_S        GATE           BK        INST      0       2       TELE      S28_S - Telemetry (Radio Network) Instantaneous gate opening (feet) for Gate 2 
#
# Data-value qualification and other codes included in this output are described at: https://insightsdata.sfwmd.gov/#/reference-tables
#
TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
"LS856","S28_S","S28-2",GATE,2022-01-01 00:08:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 00:24:05,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 00:38:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 00:54:06,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 01:08:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 01:24:06,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 01:38:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 01:54:06,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 02:08:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 02:24:05,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 02:38:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 02:54:08,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 03:08:18,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 03:24:07,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 03:38:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 03:54:07,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 04:08:15,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 04:24:05,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 04:38:15,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 04:54:08,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 05:08:17,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 05:24:06,0,E, ,A
"LS856","S28_S","S28-2",GATE,2022-01-01 05:38:17,0,E, ,A
