datetime,site_no,00010,00010_cd,62610,62610_cd,62611,62611_cd
2017-10-18 04:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 04:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 04:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 04:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 05:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 05:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 05:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 05:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 06:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 06:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 06:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 06:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 07:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 07:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 07:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 07:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 08:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 08:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 08:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 08:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 09:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 09:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 09:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 09:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 10:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 10:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 10:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 10:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 11:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 11:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 11:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 11:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 12:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 12:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 12:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 12:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 13:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 13:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 13:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 13:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 14:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 14:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 14:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 14:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 15:00:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 15:15:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 15:30:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 15:45:00+00:00,255358080114103,25.0,A,,,,
2017-10-18 16:00:00+00:00,255358080114103,25.0,A,,,,
