,gwl,wl,rain,stgH,stgT,gate1,gate2
2017-01-01 00:00:00+00:00,,-0.239,,,,,
2017-01-01 01:00:00+00:00,,-0.123,,,,,
2017-01-01 02:00:00+00:00,,-0.001,,,,,
2017-01-01 03:00:00+00:00,,0.08,,,,,
2017-01-01 04:00:00+00:00,,0.102,,,,,
2017-01-01 05:00:00+00:00,,-0.018,,,,,
2017-01-01 06:00:00+00:00,,-0.17,,,,,
2017-01-01 07:00:00+00:00,,-0.305,,,,,
2017-01-01 08:00:00+00:00,,-0.432,,,,,
2017-01-01 09:00:00+00:00,,-0.518,,,,,
2017-01-01 10:00:00+00:00,,-0.534,,,,,
2017-01-01 11:00:00+00:00,,-0.455,,,,,
2017-01-01 12:00:00+00:00,,-0.303,,,,,
2017-01-01 13:00:00+00:00,,-0.158,,,,,
2017-01-01 14:00:00+00:00,,-0.005,,,,,
2017-01-01 15:00:00+00:00,,0.133,,,,,
2017-01-01 16:00:00+00:00,,0.2,,,,,
2017-01-01 17:00:00+00:00,,0.142,,,,,
2017-01-01 18:00:00+00:00,,-0.024,,,,,
2017-01-01 19:00:00+00:00,,-0.164,,,,,
2017-01-01 20:00:00+00:00,,-0.28,,,,,
2017-01-01 21:00:00+00:00,,-0.388,,,,,
2017-01-01 22:00:00+00:00,,-0.433,,,,,
2017-01-01 23:00:00+00:00,,-0.389,,,,,
2017-01-02 00:00:00+00:00,,-0.287,,,,,
2017-01-02 01:00:00+00:00,,-0.15,,,,,
2017-01-02 02:00:00+00:00,,-0.026,,,,,
2017-01-02 03:00:00+00:00,,0.094,,,,,
2017-01-02 04:00:00+00:00,,0.152,,,,,
2017-01-02 05:00:00+00:00,,0.121,,,,,
2017-01-02 06:00:00+00:00,,-0.023,,,,,
2017-01-02 07:00:00+00:00,,-0.167,,,,,
2017-01-02 08:00:00+00:00,,-0.299,,,,,
2017-01-02 09:00:00+00:00,,-0.42,,,,,
2017-01-02 10:00:00+00:00,,-0.496,,,,,
2017-01-02 11:00:00+00:00,,-0.483,,,,,
2017-01-02 12:00:00+00:00,,-0.408,,,,,
2017-01-02 13:00:00+00:00,,-0.262,,,,,
2017-01-02 14:00:00+00:00,,-0.121,,,,,
2017-01-02 15:00:00+00:00,,-0.011,,,,,
2017-01-02 16:00:00+00:00,,0.097,,,,,
2017-01-02 17:00:00+00:00,,0.122,,,,,
2017-01-02 18:00:00+00:00,,0.01,,,,,
2017-01-02 19:00:00+00:00,,-0.152,,,,,
2017-01-02 20:00:00+00:00,,-0.279,,,,,
2017-01-02 21:00:00+00:00,,-0.407,,,,,
2017-01-02 22:00:00+00:00,,-0.499,,,,,
2017-01-02 23:00:00+00:00,,-0.523,,,,,
2017-01-03 00:00:00+00:00,,-0.478,,,,,
2017-01-03 01:00:00+00:00,,-0.351,,,,,
2017-01-03 02:00:00+00:00,,-0.226,,,,,
2017-01-03 03:00:00+00:00,,-0.108,,,,,
2017-01-03 04:00:00+00:00,,0.004,,,,,
2017-01-03 05:00:00+00:00,,0.052,,,,,
2017-01-03 06:00:00+00:00,,0.006,,,,,
2017-01-03 07:00:00+00:00,,-0.104,,,,,
2017-01-03 08:00:00+00:00,,-0.247,,,,,
2017-01-03 09:00:00+00:00,,-0.378,,,,,
2017-01-03 10:00:00+00:00,,-0.481,,,,,
2017-01-03 11:00:00+00:00,,-0.533,,,,,
2017-01-03 12:00:00+00:00,,-0.509,,,,,
2017-01-03 13:00:00+00:00,,-0.41,,,,,
2017-01-03 14:00:00+00:00,,-0.255,,,,,
2017-01-03 15:00:00+00:00,,-0.119,,,,,
2017-01-03 16:00:00+00:00,,0.0,,,,,
2017-01-03 17:00:00+00:00,,0.084,,,,,
2017-01-03 18:00:00+00:00,,0.078,,,,,
2017-01-03 19:00:00+00:00,,-0.056,,,,,
2017-01-03 20:00:00+00:00,,-0.192,,,,,
2017-01-03 21:00:00+00:00,,-0.292,,,,,
2017-01-03 22:00:00+00:00,,-0.408,,,,,
2017-01-03 23:00:00+00:00,,-0.484,,,,,
2017-01-04 00:00:00+00:00,,-0.5,,,,,
2017-01-04 01:00:00+00:00,,-0.426,,,,,
2017-01-04 02:00:00+00:00,,-0.302,,,,,
2017-01-04 03:00:00+00:00,,-0.174,,,,,
2017-01-04 04:00:00+00:00,,-0.056,,,,,
2017-01-04 05:00:00+00:00,,0.039,,,,,
2017-01-04 06:00:00+00:00,,0.098,,,,,
2017-01-04 07:00:00+00:00,,0.032,,,,,
2017-01-04 08:00:00+00:00,,-0.128,,,,,
2017-01-04 09:00:00+00:00,,-0.251,,,,,
2017-01-04 10:00:00+00:00,,-0.361,,,,,
2017-01-04 11:00:00+00:00,,-0.455,,,,,
2017-01-04 12:00:00+00:00,,-0.491,,,,,
2017-01-04 13:00:00+00:00,,-0.448,,,,,
2017-01-04 14:00:00+00:00,,-0.327,,,,,
2017-01-04 15:00:00+00:00,,-0.187,,,,,
2017-01-04 16:00:00+00:00,,-0.068,,,,,
2017-01-04 17:00:00+00:00,,0.052,,,,,
2017-01-04 18:00:00+00:00,,0.098,,,,,
2017-01-04 19:00:00+00:00,,0.078,,,,,
2017-01-04 20:00:00+00:00,,-0.07,,,,,
2017-01-04 21:00:00+00:00,,-0.201,,,,,
2017-01-04 22:00:00+00:00,,-0.317,,,,,
2017-01-04 23:00:00+00:00,,-0.42,,,,,
2017-01-05 00:00:00+00:00,,-0.508,,,,,
2017-01-05 01:00:00+00:00,,-0.504,,,,,
2017-01-05 02:00:00+00:00,,-0.435,,,,,
2017-01-05 03:00:00+00:00,,-0.303,,,,,
2017-01-05 04:00:00+00:00,,-0.175,,,,,
2017-01-05 05:00:00+00:00,,-0.07,,,,,
2017-01-05 06:00:00+00:00,,0.019,,,,,
2017-01-05 07:00:00+00:00,,0.032,,,,,
2017-01-05 08:00:00+00:00,,-0.047,,,,,
2017-01-05 09:00:00+00:00,,-0.198,,,,,
2017-01-05 10:00:00+00:00,,-0.308,,,,,
2017-01-05 11:00:00+00:00,,-0.411,,,,,
2017-01-05 12:00:00+00:00,,-0.49,,,,,
2017-01-05 13:00:00+00:00,,-0.523,,,,,
2017-01-05 14:00:00+00:00,,-0.469,,,,,
2017-01-05 15:00:00+00:00,,-0.343,,,,,
2017-01-05 16:00:00+00:00,,-0.204,,,,,
2017-01-05 17:00:00+00:00,,-0.101,,,,,
2017-01-05 18:00:00+00:00,,0.008,,,,,
2017-01-05 19:00:00+00:00,,0.077,,,,,
2017-01-05 20:00:00+00:00,,0.028,,,,,
2017-01-05 21:00:00+00:00,,-0.119,,,,,
2017-01-05 22:00:00+00:00,,-0.244,,,,,
