,gwl,wl,rain
2024-01-01 00:00:00+00:00,0.188976,-0.392,0.0
2024-01-01 01:00:00+00:00,0.188976,-0.294,0.0
2024-01-01 02:00:00+00:00,0.188976,-0.179,0.0
2024-01-01 03:00:00+00:00,0.185928,-0.093,0.0
2024-01-01 04:00:00+00:00,0.188976,0.004,0.0
2024-01-01 05:00:00+00:00,0.185928,0.045,0.0
2024-01-01 06:00:00+00:00,0.188976,0.014,0.0
2024-01-01 07:00:00+00:00,0.188976,-0.109,0.0
2024-01-01 08:00:00+00:00,0.188976,-0.231,0.0
2024-01-01 09:00:00+00:00,0.188976,-0.343,0.0
2024-01-01 10:00:00+00:00,0.188976,-0.431,0.0
2024-01-01 11:00:00+00:00,0.188976,-0.472,0.0
2024-01-01 12:00:00+00:00,0.188976,-0.436,0.0
2024-01-01 13:00:00+00:00,0.188976,-0.346,0.0
2024-01-01 14:00:00+00:00,0.188976,-0.228,0.0
2024-01-01 15:00:00+00:00,0.188976,-0.114,0.0
2024-01-01 16:00:00+00:00,0.179832,-0.005,0.0
2024-01-01 17:00:00+00:00,0.185928,0.072,0.0
2024-01-01 18:00:00+00:00,0.18288,0.082,0.0
2024-01-01 19:00:00+00:00,0.188976,-0.01,0.0
2024-01-01 20:00:00+00:00,0.179832,-0.145,0.0
2024-01-01 21:00:00+00:00,0.170688,-0.244,0.0
2024-01-01 22:00:00+00:00,0.158496,-0.338,0.0
2024-01-01 23:00:00+00:00,0.146304,-0.402,0.0
2024-01-02 00:00:00+00:00,0.155448,-0.408,0.0
2024-01-02 01:00:00+00:00,0.1524,-0.345,0.0
2024-01-02 02:00:00+00:00,0.161544,-0.242,0.0
2024-01-02 03:00:00+00:00,0.161544,-0.144,0.0
2024-01-02 04:00:00+00:00,0.161544,-0.055,0.0
2024-01-02 05:00:00+00:00,0.164592,0.032,0.0
2024-01-02 06:00:00+00:00,0.16764,0.064,0.0
2024-01-02 07:00:00+00:00,0.164592,0.03,0.0
2024-01-02 08:00:00+00:00,0.16764,-0.083,0.0
2024-01-02 09:00:00+00:00,0.16764,-0.203,0.0
2024-01-02 10:00:00+00:00,0.16764,-0.299,0.0
2024-01-02 11:00:00+00:00,0.170688,-0.35,0.0
2024-01-02 12:00:00+00:00,0.170688,-0.392,0.0
2024-01-02 13:00:00+00:00,0.168656,-0.342,0.0
2024-01-02 14:00:00+00:00,0.16764,-0.24,0.0
2024-01-02 15:00:00+00:00,0.16764,-0.131,0.0
2024-01-02 16:00:00+00:00,0.170688,-0.042,0.0
2024-01-02 17:00:00+00:00,0.170688,0.057,0.0
2024-01-02 18:00:00+00:00,0.170688,0.104,0.0
2024-01-02 19:00:00+00:00,0.170688,0.075,0.0
2024-01-02 20:00:00+00:00,0.170688,-0.026,0.0
2024-01-02 21:00:00+00:00,0.170688,-0.158,0.0
2024-01-02 22:00:00+00:00,0.170688,-0.248,0.0
2024-01-02 23:00:00+00:00,0.170688,-0.338,0.0
2024-01-03 00:00:00+00:00,0.170688,-0.385,0.0
2024-01-03 01:00:00+00:00,0.170688,-0.377,0.0
2024-01-03 02:00:00+00:00,0.170688,-0.308,0.0
2024-01-03 03:00:00+00:00,0.170688,-0.216,0.0
2024-01-03 04:00:00+00:00,0.170688,-0.096,0.0
2024-01-03 05:00:00+00:00,0.16764,0.0,0.0
2024-01-03 06:00:00+00:00,0.170688,0.074,0.0
2024-01-03 07:00:00+00:00,0.16764,0.108,0.0
2024-01-03 08:00:00+00:00,0.170688,0.043,0.0
2024-01-03 09:00:00+00:00,0.16764,-0.076,0.0
2024-01-03 10:00:00+00:00,0.170688,-0.174,0.0
2024-01-03 11:00:00+00:00,0.170688,-0.255,0.0
2024-01-03 12:00:00+00:00,0.170688,-0.305,0.0
2024-01-03 13:00:00+00:00,0.170688,-0.303,0.0
2024-01-03 14:00:00+00:00,0.170688,-0.232,0.0
2024-01-03 15:00:00+00:00,0.170688,-0.14,0.0
2024-01-03 16:00:00+00:00,0.170688,-0.041,0.0
2024-01-03 17:00:00+00:00,0.16764,0.057,0.0
2024-01-03 18:00:00+00:00,0.170688,0.134,0.0
2024-01-03 19:00:00+00:00,0.16764,0.156,0.0
2024-01-03 20:00:00+00:00,0.16764,0.085,0.0
2024-01-03 21:00:00+00:00,0.16764,-0.007,0.0
2024-01-03 22:00:00+00:00,0.170688,-0.1,0.0
2024-01-03 23:00:00+00:00,0.170688,-0.197,0.0
2024-01-04 00:00:00+00:00,0.170688,-0.284,0.0
2024-01-04 01:00:00+00:00,0.16764,-0.316,0.0
2024-01-04 02:00:00+00:00,0.170688,-0.332,0.0
2024-01-04 03:00:00+00:00,0.170688,-0.251,0.0
