,gwl,wl
2023-01-01 00:00:00,0.143256,-0.195
2023-01-01 01:00:00,0.146304,-0.324
2023-01-01 02:00:00,0.146304,-0.426
2023-01-01 03:00:00,0.146304,-0.489
2023-01-01 04:00:00,0.146304,-0.48
2023-01-01 05:00:00,0.146304,-0.382
2023-01-01 06:00:00,0.146304,-0.238
2023-01-01 07:00:00,0.146304,-0.109
2023-01-01 08:00:00,0.143256,0.023
2023-01-01 09:00:00,0.146304,0.116
2023-01-01 10:00:00,0.143256,0.146
2023-01-01 11:00:00,0.143256,0.073
2023-01-01 12:00:00,0.143256,-0.075
2023-01-01 13:00:00,0.143256,-0.183
2023-01-01 14:00:00,0.143256,-0.275
2023-01-01 15:00:00,0.143256,-0.357
2023-01-01 16:00:00,0.146304,-0.368
2023-01-01 17:00:00,0.143256,-0.319
2023-01-01 18:00:00,0.143256,-0.207
2023-01-01 19:00:00,0.143256,-0.088
2023-01-01 20:00:00,0.143256,0.013
2023-01-01 21:00:00,0.143256,0.095
2023-01-01 22:00:00,0.143256,0.134
2023-01-01 23:00:00,0.140208,0.066
2023-01-02 00:00:00,0.140208,-0.075
2023-01-02 01:00:00,0.143256,-0.206
2023-01-02 02:00:00,0.140208,-0.325
2023-01-02 03:00:00,0.140208,-0.43
2023-01-02 04:00:00,0.143256,-0.478
2023-01-02 05:00:00,0.143256,-0.459
2023-01-02 06:00:00,0.143256,-0.358
2023-01-02 07:00:00,0.143256,-0.214
2023-01-02 08:00:00,0.140208,-0.092
2023-01-02 09:00:00,0.140208,0.026
2023-01-02 10:00:00,0.140208,0.117
2023-01-02 11:00:00,0.140208,0.133
2023-01-02 12:00:00,0.140208,0.045
2023-01-02 13:00:00,0.140208,-0.081
2023-01-02 14:00:00,0.140208,-0.188
2023-01-02 15:00:00,0.140208,-0.294
2023-01-02 16:00:00,0.13716,-0.371
2023-01-02 17:00:00,0.140208,-0.397
2023-01-02 18:00:00,0.13716,-0.342
2023-01-02 19:00:00,0.13716,-0.227
2023-01-02 20:00:00,0.13716,-0.112
2023-01-02 21:00:00,0.13716,-0.027
2023-01-02 22:00:00,0.13716,0.053
2023-01-02 23:00:00,0.13716,0.066
2023-01-03 00:00:00,0.13716,-0.006
2023-01-03 01:00:00,0.13716,-0.143
2023-01-03 02:00:00,0.13716,-0.265
2023-01-03 03:00:00,0.140208,-0.38
2023-01-03 04:00:00,0.13716,-0.473
2023-01-03 05:00:00,0.140208,-0.506
2023-01-03 06:00:00,0.13716,-0.471
2023-01-03 07:00:00,0.140208,-0.365
2023-01-03 08:00:00,0.140208,-0.204
2023-01-03 09:00:00,0.13716,-0.085
