t,v,s,f,q
2024-02-01 00:00:00,-0.414,0.002,"0,0,0,0",v
2024-02-01 00:06:00,-0.414,0.002,"0,0,0,0",v
2024-02-01 00:12:00,-0.413,0.003,"0,0,0,0",v
2024-02-01 00:18:00,-0.404,0.002,"0,0,0,0",v
2024-02-01 00:24:00,-0.392,0.003,"0,0,0,0",v
2024-02-01 00:30:00,-0.39,0.002,"0,0,0,0",v
2024-02-01 00:36:00,-0.391,0.004,"0,0,0,0",v
2024-02-01 00:42:00,-0.381,0.003,"0,0,0,0",v
2024-02-01 00:48:00,-0.372,0.003,"0,0,0,0",v
2024-02-01 00:54:00,-0.367,0.003,"0,0,0,0",v
2024-02-01 01:00:00,-0.365,0.003,"0,0,0,0",v
2024-02-01 01:06:00,-0.349,0.003,"0,0,0,0",v
2024-02-01 01:12:00,-0.339,0.003,"0,0,0,0",v
2024-02-01 01:18:00,-0.334,0.003,"0,0,0,0",v
2024-02-01 01:24:00,-0.327,0.005,"0,0,0,0",v
2024-02-01 01:30:00,-0.312,0.003,"0,0,0,0",v
2024-02-01 01:36:00,-0.298,0.003,"0,0,0,0",v
2024-02-01 01:42:00,-0.289,0.004,"0,0,0,0",v
2024-02-01 01:48:00,-0.278,0.003,"0,0,0,0",v
2024-02-01 01:54:00,-0.267,0.003,"0,0,0,0",v
2024-02-01 02:00:00,-0.256,0.003,"0,0,0,0",v
2024-02-01 02:06:00,-0.246,0.004,"0,0,0,0",v
2024-02-01 02:12:00,-0.233,0.003,"0,0,0,0",v
2024-02-01 02:18:00,-0.223,0.003,"0,0,0,0",v
2024-02-01 02:24:00,-0.212,0.003,"0,0,0,0",v
2024-02-01 02:30:00,-0.199,0.004,"0,0,0,0",v
2024-02-01 02:36:00,-0.187,0.004,"0,0,0,0",v
2024-02-01 02:42:00,-0.186,0.004,"0,0,0,0",v
2024-02-01 02:48:00,-0.168,0.003,"0,0,0,0",v
2024-02-01 02:54:00,-0.157,0.005,"0,0,0,0",v
2024-02-01 03:00:00,-0.144,0.004,"0,0,0,0",v
2024-02-01 03:06:00,-0.136,0.004,"0,0,0,0",v
2024-02-01 03:12:00,-0.126,0.004,"0,0,0,0",v
2024-02-01 03:18:00,-0.115,0.005,"0,0,0,0",v
2024-02-01 03:24:00,-0.104,0.005,"0,0,0,0",v
2024-02-01 03:30:00,-0.097,0.006,"0,0,0,0",v
2024-02-01 03:36:00,-0.086,0.005,"0,0,0,0",v
2024-02-01 03:42:00,-0.07,0.005,"0,0,0,0",v
2024-02-01 03:48:00,-0.061,0.005,"0,0,0,0",v
2024-02-01 03:54:00,-0.049,0.004,"0,0,0,0",v
2024-02-01 04:00:00,-0.04,0.004,"0,0,0,0",v
2024-02-01 04:06:00,-0.034,0.005,"0,0,0,0",v
2024-02-01 04:12:00,-0.021,0.004,"0,0,0,0",v
2024-02-01 04:18:00,-0.013,0.004,"0,0,0,0",v
2024-02-01 04:24:00,-0.002,0.006,"0,0,0,0",v
2024-02-01 04:30:00,0.005,0.004,"0,0,0,0",v
2024-02-01 04:36:00,0.008,0.004,"0,0,0,0",v
2024-02-01 04:42:00,0.025,0.005,"0,0,0,0",v
2024-02-01 04:48:00,0.029,0.004,"0,0,0,0",v
