experiment,lead_time,CF_1CM_ffca,CF_1CM_original,R2_ffca,R2_original,RMSE_cm_ffca,RMSE_cm_original,n_features_ffca,n_features_original,RMSE_delta,CF1_delta,feat_reduction
3hr_measured_sigmoid,3,80.53134664042733,79.33651953893731,0.978934683757872,0.9773132585653806,1.69207558165617,1.75598914623615,66.0,-1.0,-0.06391356457998021,1.19482710149002,-67.0
3hr_perfect_prog_all_inputs_sigmoid,3,81.75428732077593,82.30250210851841,0.9862704139079678,0.984438513271304,1.36604337335638,1.4543244646526101,55.0,-1.0,-0.08828109129623019,-0.5482147877424808,-56.0
3hr_perfect_prog_gate_sigmoid,3,82.569581107675,81.27635648017993,0.9829616307733176,0.9806504393436828,1.52177266646044,1.62170300259992,54.0,-1.0,-0.09993033613947988,1.2932246274950785,-55.0
3hr_perfect_prog_rain_sigmoid,3,81.51532190047793,80.44700590385156,0.9865781633635048,0.983052017916227,1.3506466346012098,1.51773085975272,64.0,-1.0,-0.1670842251515101,1.0683159966263673,-65.0
3hr_perfect_prog_wls_sigmoid,3,81.24824290132135,79.63171211695249,0.980592662221897,0.9778085566456146,1.6241223725671199,1.7367149451863702,57.0,-1.0,-0.11259257261925026,1.6165307843688623,-58.0
6hr_measured_sigmoid,6,71.60736886513853,72.36675573055828,0.950066135755441,0.9497793357783748,2.60569770416399,2.6131700283681,60.0,-1.0,-0.007472324204110148,-0.7593868654197564,-61.0
6hr_perfect_prog_all_inputs_sigmoid,6,74.22303473491773,75.51680495007734,0.9727117269657184,0.9720822715659168,1.92625805629776,1.94834778181412,77.0,-1.0,-0.022089725516359904,-1.2937702151596113,-78.0
6hr_perfect_prog_gate_sigmoid,6,73.337083391928,74.99648432006751,0.957658547898447,0.961494444437662,2.39943680521437,2.28816921928241,62.0,-1.0,0.11126758593196007,-1.6594009281395046,-63.0
6hr_perfect_prog_rain_sigmoid,6,72.67613556461819,73.61833778652792,0.9692798502654232,0.9659694721774332,2.04379864226597,2.15110091399753,66.0,-1.0,-0.10730227173156015,-0.9422022219097244,-67.0
6hr_perfect_prog_wls_sigmoid,6,72.0292504570384,72.42300660947826,0.947644961599222,0.9487920299882748,2.66812199764433,2.63873162536103,44.0,-1.0,0.029390372283299993,-0.39375615243986317,-45.0
12hr_measured_sigmoid,12,65.57353976073188,64.26460239268121,0.9012414288079156,0.9010639476534976,3.66601843294172,3.6693110946024197,51.0,-1.0,-0.003292661660699636,1.308937368050664,-52.0
12hr_perfect_prog_all_inputs_sigmoid,12,71.24560168895144,71.68191414496833,0.9642974303575444,0.9627221751630252,2.2042303746346,2.2523326213001,96.0,-1.0,-0.04810224666549967,-0.4363124560168927,-97.0
12hr_perfect_prog_gate_sigmoid,12,66.34764250527797,68.34623504574243,0.9089200598943648,0.9424383169634678,3.52061563573691,2.79881367437628,72.0,-1.0,0.7218019613606299,-1.9985925404644576,-73.0
12hr_perfect_prog_rain_sigmoid,12,67.6143560872625,67.3469387755102,0.952621227934571,0.9446157527539332,2.53921307457802,2.74536677809246,74.0,-1.0,-0.20615370351444007,0.2674173117522969,-75.0
12hr_perfect_prog_wls_sigmoid,12,66.29134412385645,65.33427163969036,0.900549384715397,0.9023455239438788,3.6788406990385605,3.6454682689137297,52.0,-1.0,0.03337243012483082,0.9570724841660905,-53.0
24hr_measured_sigmoid,24,52.47427040744396,53.20738756520513,0.8159628363034008,0.8164826137722218,5.008664463816119,5.00158645935461,58.0,-1.0,0.007078004461509302,-0.7331171577611713,-59.0
24hr_perfect_prog_all_inputs_sigmoid,24,60.76413365289722,62.25856478217962,0.9359156929998416,0.9449913309954368,2.95559565322248,2.73832342407614,95.0,-1.0,0.21727222914634003,-1.4944311292823969,-96.0
24hr_perfect_prog_gate_sigmoid,24,52.36148315240378,57.126744677851406,0.8696097040184613,0.9169172219150205,4.21591463538351,3.36530691553038,62.0,-1.0,0.8506077198531301,-4.765261525447627,-63.0
24hr_perfect_prog_rain_sigmoid,24,55.13886930776823,57.042154236571264,0.9123994384774498,0.9071252852365048,3.45559325831578,3.55809811404663,74.0,-1.0,-0.10250485573085033,-1.903284928803032,-75.0
24hr_perfect_prog_wls_sigmoid,24,52.26279430424362,53.29197800648527,0.8113814683895786,0.8214381185748105,5.07062335954505,4.93359561777644,50.0,-1.0,0.13702774176860988,-1.029183702241653,-51.0
